Question ID,Question Number,Question Content,Image,User
f81,1,What profession is in that she gets to wear a tie & suspenders?,441905,f12
f82,2,Do you think she was ready for her picture to be taken or was it by surprise?,441905,f12
f83,1,Is it dusk or dawn in this picture?,520378,f12
f84,2,Is the flower he's showing off a three or two dimentional figure? ,520378,f12
f85,1,Is this elephant a newborn or a couple of years old?,294138,f12
f86,2,Are these elephants in a zoo or on a reservation preserve for wildlife to live & thrive?,294138,f12
f87,1,Is this kid new to the game or has he been playing for a few years?,87602,f12
f88,2,"Judging by his concentration, is he about to hit the ball or strike out?",87602,f12
f89,1,Do you think that this car belongs to the man under the umbrella or is he just admiring it?,306439,f12
f90,2,Is the Alfred Dunhill shop for anybody or does a man have to have a lot of money to shop here?,306439,f12
f91,1,How long has this man lived alone?,11091,f13
f92,2,Does he spend every night watching movies/tv in his bed?,11091,f13
f93,1,Did she make any of the art herself?,53405,f13
f94,2,What did she study in college?,53405,f13
f95,1,Did she win this match?,571158,f13
f96,2,How long has she been playing?,571158,f13
f97,1,Is the guy in the suit dating flamingo girl or white dress?,4684,f14
f98,2,"Where do you think they are in this picture, a wedding, bash or concert?",4684,f14
f99,1,Do you think the girl and boy here are brother and sister?,517362,f14
f100,2,Do these two kids look like they go to the same school?,517362,f14
f101,1,Does it look like purple shirt is throwing away that milk carton?,196108,f14
f102,2,"If yes, why doesn't she just use the sink?",196108,f14
f103,1,How often does this person spend time outdoors,499120,f13
f104,2,Where's the nearest gas station?,499120,f13
f105,1,"It is clearly hot outside, hence the umbrella, but is grandma earrings walking with a friend or her husband?",547348,f14
f106,2,Could it be the person taking the picture was asked to do it? That could be why everyone else is out of focus. Or could it be a candid/creepshot?,547348,f14
f107,1,What smells would you smell if you were here?,5313,f13
f108,2,Where do these buses go?,5313,f13
f109,1,Does the child look like he's practicing or showing off for a video?,461815,f14
f110,2,"If the parent of the child would see them without proper protective gear, how do you think they would react?",461815,f14
f111,1,Do you give your dog clothes to wear?,36439,f16
f112,2,Did you have a dog growing up?,36439,f16
f113,1,Have you ever been to a hotel?,571136,f16
f114,2,What's your favorite thing about hotels?,571136,f16
f115,1,Would you ever go surfing?,116968,f16
f116,2,How often do you go to the beach?,116968,f16
f117,1,Is this truck picking up something or dropping it off?,447795,f15
f118,2,Has this truck ever been driven by a woman?,447795,f15
f119,1,Have you heard of Serena Williams?,509255,f16
f120,2,What sports do you watch?,509255,f16
f121,1,What's you favorite team sport?,361930,f16
f122,2,Who is your favorite athlete?,361930,f16
f123,1,Does the cat have any siblings?,354517,f15
f124,2,Is the TV volume on?,354517,f15
f125,1,Which plane is going to land first?,338383,f15
f126,2,Which pilot is married?,338383,f15
f127,1,What is everyone staring at?,459524,f15
f128,2,Why is that person holing a sign that says SLOW?,459524,f15
f129,1,Was this a last minute costume?,403357,f15
f130,2,Who is he on the phone with?,403357,f15
f131,1,Are these guys friends?,298483,f17
f132,2,What kind of game are they playing?,298483,f17
f133,1,How long will this construction project last?,175047,f17
f134,2,Who owns the blue construction hat?,175047,f17
f135,1,How long has this person been surfing?,9771,f17
f136,2,What did the surfer pack for lunch?,9771,f17
f137,1,Are the two people on the right on a date?,369598,f17
f138,2,What are the standing person and the person in white talking about?,369598,f17
f139,1,Which of these kids has added graffiti to the walls?,143528,f17
f140,2,Is this an art gallery or a skate park?,143528,f17
f141,1,Who is the man on the phone talking to?,32442,f18
f142,2,How long has the police officer been working as one?,32442,f18
f143,1,"What are the names of the horse, woman, and child?",441108,f18
f144,2,Where was this picture taken?,441108,f18
f145,1,What was the forecast of the day this picture was taken?,125626,f18
f146,2,How much are these men being paid to transport the elephant?,125626,f18
f147,1,What game is the man playing?,539571,f18
f148,2,Who else is in the room?,539571,f18
f149,1,When was the fireplace last used?,60350,f18
f150,2,Who drank/is drinking the beer on the table?,60350,f18
f151,1,What are they talking about?,518157,f20
f152,2,How do they know each other?,518157,f20
f153,1,Where are they?,308575,f20
f154,2,What are they cooking?,308575,f20
f155,1,Where are his parents?,138100,f20
f156,2,Why does he not have any protective gear?,138100,f20
f157,1,What is the occasion?,262529,f20
f158,2,What is his name?,262529,f20
f159,1,Are any of these people in the same family?,562845,f19
f160,2,Is this a school project?,562845,f19
f161,1,Who took this picture?,172501,f20
f162,2,Where is she going?,172501,f20
f163,1,Where does this man buy his clothers?,472426,f19
f164,2,"Has he read ""War and Peace?""",472426,f19
f165,1,Is this woman a vegetarian?,375809,f19
f166,2,"Will they ride home on the bus in the background?
",375809,f19
f167,1,Did this man have a happy childhood?,276870,f19
f168,2,Was the stuffed animal a Christmas present?,276870,f19
f169,1,What is the tee ball players name?,240490,f21
f170,2,What time of the year is it?,240490,f21
f171,1,Is there a cookie shop on this street?,237833,f19
f172,2,What is the combined weight of these people?,237833,f19
f173,1,What is she pointing at?,169600,f21
f174,2,What are they drinking?,169600,f21
f175,1,What occassion is it?,285634,f21
f176,2,Who is getting the first slice?,285634,f21
f177,1,What is mood right now?,307817,f21
f178,2,Are there sharks in the water?,307817,f21
f179,1,What game is being played?,521416,f21
f180,2,Who's winning in the game?,521416,f21
f181,1,How did she end up in this situation? ,177840,f23
f182,2,Who is helping her? ,177840,f23
f183,1,Is the sandwich for her? ,262407,f23
f184,2,Is this a happy home? ,262407,f23
f185,1,What kind of work is being done on these computers?,441296,f22
f186,2,Is the setting some type of laboratory?,441296,f22
f187,1,Is that smoke from a dangerous fire? ,227205,f23
f188,2,Where is that train headed? ,227205,f23
f189,1,Where is this place located? ,250916,f23
f190,2,What are these boats used for? ,250916,f23
f191,1,Why are the stands so empty?,321389,f22
f192,2,Which team is in control of the ball?,321389,f22
f193,1,Who designed this art? ,123949,f23
f194,2,Is she a celebrity? ,123949,f23
f195,1,What country is this skier in?,228783,f22
f196,2,Is that a professional skier?,228783,f22
f197,1,Are the ropes to stop anyone from using the commode?,557515,f22
f198,2,Is this in a rural country?,557515,f22
f199,1,What profession is the man with the tie?,563545,f22
f200,2,What country is it?,563545,f22
f201,1,How old do you think the person who owns this bedroom is?,142051,f24
f202,2,Do you think this person has more sculptures in their home?,142051,f24
f203,1,Do you enjoy the outdoors,299029,f25
f204,2,Have you ever played frisbee,299029,f25
f205,1,How does the status of the horse look?,155058,f25
f206,2,Have you rode a horse before,155058,f25
f207,1,have you been skiing ,8314,f25
f208,2,Do you enjoy cold weather. ,8314,f25
f209,1,Is it gonna rain,413923,f25
f210,2,What city is this,413923,f25
f211,1,Is this a custom suit?,207976,f25
f212,2,What is the dude so happy,207976,f25
f213,1,Why is the guy in the background looking so surprised?,250749,f26
f214,2,Is the man in the picture the groom?,250749,f26
f215,1,How many different types of okra do you think this guy sells?,209200,f24
f216,2,How much do you think the okra costs?,209200,f24
f217,1,Is she waiting for someone to come?,257670,f26
f218,2,How old is the model of her phone?,257670,f26
f219,1,How old are the married couple?,114786,f24
f220,2,Where did they get that cake?,114786,f24
f221,1,Is the snowboarder grinding on the edge of the jump?,43829,f26
f222,2,Did they end up landing the trick?,43829,f26
f223,1,What is the girl looking at?,408917,f26
f224,2,Where did she get the flower?,408917,f26
f225,1,Does this man skateboard often?,381509,f26
f226,2,What do his peers in the background think of him?,381509,f26
f227,1,Does this young man get good grades?,340494,f24
f228,2,Who took this picture?,340494,f24
f229,1,Would you eat this guy's cooking?,340220,f24
f230,2,Does this guy drink beer or liquor?,340220,f24
f231,1,Which video game are the people playing?,495233,f28
f232,2,How old are each of the boys in the picture?,495233,f28
f233,1,What types of places are these people travelling to?,406245,f27
f234,2,Is this a local or international travel hub?,406245,f27
f235,1,What is the score of the game?,184697,f28
f236,2,How much time is left in the game?,184697,f28
f237,1,What cased the tress to fall on the road?,69874,f28
f238,2,Which street did this happen?,69874,f28
f239,1,What kind of day did this person just have?,39643,f27
f240,2,Is this person a traveler or are they in their own home?,39643,f27
f241,1,How old is the dog in the picture?,334616,f28
f242,2,How long has the owner had the dog?,334616,f28
f243,1,What brand is the bicycle?,230756,f28
f244,2,Where is the man on the bike going?,230756,f28
f245,1,What are they playing?,45524,f29
f246,2,What are the rules of the game?,45524,f29
f247,1,What kind of food do they serve?,27777,f29
f248,2,How old is the boat?,27777,f29
f249,1,what celebration is this?,358300,f29
f250,2,What organization is this?,358300,f29
f251,1,Who took this picture?,2083,f27
f252,2,What conversation were these two people just having?,2083,f27
f253,1,What is the score?,357799,f29
f254,2,What team are they playing ,357799,f29
f255,1,Where are the animals coming from?,468891,f27
f256,2,What kind of life do these animals live in a day-to-day?,468891,f27
f257,1,what forest are they in?,127388,f29
f258,2,Are they at a park?,127388,f29
f259,1,"Is this person a male, female, or transgender?",477774,f30
f260,2,Is this person married or single?,477774,f30
f261,1,What caused the need for this piece of machinery?,487571,f27
f262,2,How are peoples days disrupted by this machinery?,487571,f27
f263,1,Is this activity for kids only or can adults partake in it as well?,115251,f30
f264,2,What kind of game is this called?,115251,f30
f265,1,Are these girls on a championship team?,559553,f30
f266,2,Is this player the star athlete of the team?,559553,f30
f267,1,Are these people waiting on a bus or at some kind of festival?,2135,f30
f268,2,Are these people nice or rude?,2135,f30
f269,1,What are they celebrating?,369931,f30
f270,2,whose house are they celebrating at?,369931,f30
f271,1,How long has he been playing tennis?,130122,f32
f272,2,Do you think he is winning?,130122,f32
f273,1,What flavor is the cake?,269561,f32
f274,2,Who is all at the party?,269561,f32
f275,1,Does God provide food for birds?,381547,f31
f276,2,Do you think the company who's disgarded products are mostly found in the seas and rivers be fined for polution and killing sea life?,381547,f31
f277,1,What is she drinking?,314392,f32
f278,2,Who is she?,314392,f32
f279,1,Where is this located?,104343,f32
f280,2,Is this an academic trip or for leisure?,104343,f32
f281,1,What are they playing?,86075,f32
f282,2,Are they related?,86075,f32
f283,1,Do you love the smell of freshly cut grass?,47548,f31
f284,2,What do you think are some of the benefits visiting green open spaces?,47548,f31
f285,1,How big is the shower head,139304,f33
f286,2,do they have flat irons,139304,f33
f287,1,How old it too old for keeping up fake tans?,199469,f31
f288,2,"Should women pressure men into getting cosmetic surgery, the same way women feel pressured to look young when they age?",199469,f31
f289,1,does it rain a lot,258956,f33
f290,2,what was the temp like on that day,258956,f33
f291,1,how fast did they drive,530397,f33
f292,2,how many people help load it,530397,f33
f293,1,how much luggage was under the bus,410173,f33
f294,2,how much did the tickets cost,410173,f33
f295,1,Do you ever wonder if show-jumingp horses enjoy their job performing at shows?,512838,f31
f296,2,Do you think it's right to put down a horse if they break a leg doing stunts as sport. ,512838,f31
f297,1,did they ever make it fly ,212887,f33
f298,2,did it get lost in the sky,212887,f33
f299,1,"When do you think a pregnant woman should stop drinking even the littlest bit of wine, if you think it's ok at all?",204489,f31
f300,2,Should wearing a mask in pubs and bars be the rule until covid numbers are way down?,204489,f31
f301,1,What time did the lady buy the umbrella?,258956,f35
f302,2,Did this lady recently have something bad happen to her?,258956,f35
f303,1,Why  is this man's face painted black?,260696,f35
f304,2,Does positioning your feet like the man help you skate better?,260696,f35
f305,1,Are hotdogs easy to eat on the go?,164680,f35
f306,2,Are railways common in this city?,164680,f35
f307,1,How long can horses walk before their legs get tired?,307150,f35
f308,2,Is riding on a saddle for long periods of time good for you?,307150,f35
f309,1,Are those strings used for something fun or serious?,546703,f34
f310,2,Will the kid in green mess up?,546703,f34
f311,1,Could all of these objects fit in your front pocket comfortably?,413903,f35
f312,2,Do people have lucky items that they carry with them wherever they go?,413903,f35
f313,1,What is the elephant on the right thinking about?,494240,f34
f314,2,Are those birds fabulous or not?,494240,f34
f315,1,Are Zoo acceptable and morale place?,473587,f34
f316,2,Is this Zebra happy?,473587,f34
f317,1,What could those plugs connected to the prominently exposed outlets in the back be powering in this restaurant?,469293,f36
f318,2,Are the other people in the back possibly eavesdropping on what could be one of these two peoples' birthday celebration?,469293,f36
f319,1,Is this man going to use the computer or the piano?,201940,f34
f320,2,Does this man look confused or concentrated?,201940,f34
f321,1,Is this dog goal to land the fall or fail it?,491831,f34
f322,2,Why is the man positioned like that?,491831,f34
f323,1,How many people are in the picture?,70339,f37
f324,2,What color is the flowers?,70339,f37
f325,1,"The bathroom may look clean, but does it smell good? It doesn't even have a shallot bowl.",47054,f36
f326,2,Does this seem like a Tinder worthy picture if you can't see this person's face? They're probably a creative,47054,f36
f327,1,Where is this picture taken?,189915,f37
f328,2,What does the lady on the bench have in her hand?,189915,f37
f329,1,What animal is shown here?,195472,f37
f330,2,What are the people doing?,195472,f37
f331,1,What type of dog is in the image?,461835,f37
f332,2,What is the man doing?,461835,f37
f333,1,How often does the individual in the green coat get on this train? Is it a daily thing to get to work or are they on vacation?,211788,f36
f334,2,How long do you think the conductor run this antique looking train? ,211788,f36
f335,1,What genre of music is being performed?,211686,f37
f336,2,What song is she singing?,211686,f37
f337,1,when did this event take place?,90490,f39
f338,2,what is the man doing on the computer?,90490,f39
f339,1,Is this person performing for someone else not present?,14244,f39
f340,2,Is this person a professional?,14244,f39
f341,1,Where is this person traveling to?,46942,f39
f342,2,Where is this location?,46942,f39
f343,1,Who is he talking to on the phone?,150821,f39
f344,2,Is the conversation pleasant?,150821,f39
f345,1,When was this picture taken?,456987,f39
f346,2,Are the women twins?,456987,f39
f347,1,Where is the banana farm is located?,419171,f40
f348,2,How much is the man is being paid to pick bananas?,419171,f40
f349,1,Are the people that planted those trees in such a way to clear that canopy covered trail even alive now?,13182,f36
f350,2,"So a horse meets a lady at the entrance of this trail. She says, ""I need to find a flower to win the heart of an older gentleman"". The horse says, ""Sure, I can help you get there. Hop on. There are a great variety of species to be found"". Placing her faded canary gold shawl on the kind horses back, She says, ""That's great! But I'm looking for a specific one"". She hops on, and with a light daft trot, they set off, past other passersby.
What kind of flower is the lady looking for from the within this trail?",13182,f36
f351,1,Do you think this giraffe is happy in this enclosure?,110084,f36
f352,2,Are there enough people watching the giraffe and possibly its family from just off screen to maintain the sustainability of this location?,110084,f36
f353,1,How much rain fell that day?,185663,f40
f354,2,Where is this photo taken? ,185663,f40
f355,1,Which country is this?,123552,f40
f356,2,Is the guy the owner of the bike or he is borrowing it?,123552,f40
f357,1,What is his batting average?,203847,f40
f358,2,Did the batter hit the ball?,203847,f40
f359,1,What flavor is the cake?,362683,f41
f360,2,Is anybody in this picture related?,362683,f41
f361,1,What kind of phone is in his hands?,239307,f40
f362,2,Is that his father behind him?,239307,f40
f363,1,Where is this beach located?,563617,f41
f364,2, was this picture taken in the morning or the afternoon?,563617,f41
f365,1,How long does it take to get the horse so fluffy from brushing and combing? ,440311,f41
f366,2,Is the horse at the fence of her home or a farm?,440311,f41
f367,1,What kind of life does this woman live?,376731,f43
f368,2,Are mopeds popular as a form of transportation in this city?,376731,f43
f369,1,I wonder if that train is coal or steam powered.,24980,f42
f370,2,Do you think this is an historic train?,24980,f42
f371,1,Would you play baseball with your friends in a park if you had the chance?,14502,f43
f372,2,How long does it take to find a good spot to relax in a public park?,14502,f43
f373,1,Was this picture taken during an event?,565767,f41
f374,2,Is he right-handed or left-handed and does this determine which foot he puts on the snowboard in the front?,565767,f41
f375,1,Where does Penn State University find the money to have a police motorcycle?,250737,f43
f376,2,How does Penn State University campus police promote their presence?,250737,f43
f377,1,What game is he playing?,256385,f44
f378,2,"Is the other person playing with him, or against him?",256385,f44
f379,1,Would you fly in a plane with only one engine?,514299,f42
f380,2,Emergency landings on a golf course?,514299,f42
f381,1,What brand is the dress shirt?,135369,f43
f382,2,What are some good pizza restaurants to eat out at in your city?,135369,f43
f383,1,Are they shopping for a phone or a phone accessory?,379261,f41
f384,2,do they want the iPhone 3G?,379261,f41
f385,1,Did she win or lose the game?,183740,f44
f386,2,Was this her first time playing a Wii game?,183740,f44
f387,1,How foggy does this area get around this time of the year?,338597,f43
f388,2,Do you like to take walks along the beach?,338597,f43
f389,1,Did they stick the landing?,11631,f44
f390,2,How old is this person?,11631,f44
f391,1,What is going on here?,388662,f44
f392,2,Did these people know each other before this happened?,388662,f44
f393,1,How high is this building that the man is standing on?,458914,f45
f394,2,Is this a pet bird?,458914,f45
f395,1,Is this a party or solo drinking event?,294325,f44
f396,2,Is this person even old enough to drink?,294325,f44
f397,1,What could make this player get kicked out of the game?,22482,f45
f398,2,How long has this player been playing baseball?,22482,f45
f399,1,Do you think the elephants feel like they have a wedgie?,354220,f42
f400,2,"Wonder if elephants can swim or walk under water and snorkel with their trunks?
",354220,f42
f401,1,How high is this wave?,79151,f45
f402,2,Is the waves this high all day?,79151,f45
f403,1,Why is he taking a picture of the pizza?,460362,f45
f404,2,What pizza place is this?,460362,f45
f405,1,What type of kite is she flying?,53712,f45
f406,2,Where is this place located?,53712,f45
f407,1,Should bikers be allowed to ride on the highway opposed to the bike lane?,390756,f46
f408,2,Do skateboarders have to follow the rules of the transportation system? ,390756,f46
f409,1,Are those military insignia on her sleeves?,85235,f42
f410,2,Wonder what's for dinner?,85235,f42
f411,1,What emotion is shown by the child on the right?,229919,f46
f412,2,What is an appropriate bedtime for a 3-year old?,229919,f46
f413,1,What is the most expensive wine from Italy?,240046,f46
f414,2,What pairs best with red wine? ,240046,f46
f415,1,Think she won a prize?,71441,f42
f416,2,Wonder why people are so stuck on tradition with hats and riding outfits like that?,71441,f42
f417,1,What are the steps to tie a tie properly?,363957,f46
f418,2,How should a flag be positioned when it is inside of a building?,363957,f46
f419,1,How far can horses travel without needing a break?,39141,f46
f420,2,What can be used to effectively travel across a body of water in this century?,39141,f46
f421,1,How long have the skiiers been skiing?,56023,f47
f422,2,Who is the best skier,56023,f47
f423,1,Where did this man buy his kite?,468279,f48
f424,2,Is this man married?,468279,f48
f425,1,Can cows communicate when they are afraid?,262670,f47
f426,2,How much do cows eat?,262670,f47
f427,1,What is the dog's name?,381789,f48
f428,2,Will the dog catch the frisbee?,381789,f48
f429,1,Where is the lady on the bike going?,281160,f48
f430,2,How many people in China use Dove?,281160,f48
f431,1,What is causing the traffic?,136043,f48
f432,2,What is the temperature in this picture?,136043,f48
f433,1,What is she taking a picture of?,264309,f48
f434,2,What company does she work for?,264309,f48
f435,1,What beach is this? ,418569,f49
f436,2,Are they brothers or friends? ,418569,f49
f437,1,What airport is this ?,381107,f49
f438,2,What flights are taking off?  ,381107,f49
f439,1,How many different bus routes are in this city?,579568,f47
f440,2,How much rain falls here every year?,579568,f47
f441,1,How many strips are there? ,251502,f49
f442,2,Is this a male or female? ,251502,f49
f443,1,Who’s son is this lol ? ,150614,f49
f444,2,Is this mini league? ,150614,f49
f445,1,Who is taking this picture? ,67974,f49
f446,2,What restaurant is this? ,67974,f49
f447,1,Is this elephant more athletic than a lion?,399282,f50
f448,2,Should this elephant be free?,399282,f50
f449,1,What are your thoughts on police brutality?,366414,f50
f450,2,Are police as bad overseas as America?,366414,f50
f451,1,Should children this young eat solid foods?,238200,f50
f452,2,Should children eat canned foods?,238200,f50
f453,1,Who was the opponent in tis match?,395178,f47
f454,2,What was the score at the end of this match?,395178,f47
f455,1,Will public transportation ever be the same after covid?,577448,f50
f456,2,Do you put subways on the same level as public buses?,577448,f50
f457,1,What is the elephants age?,201342,f51
f458,2,What is the name of the man with the Elephant?,201342,f51
f459,1,where is this place the girl is eating the pizza?,16359,f51
f460,2,is that  pizza with extra cheese or just the  ordinary pizza for that location?,16359,f51
f461,1,What city would you associate a horse and carriage with?,290136,f50
f462,2,Should horses be allowed on city streets?,290136,f50
f463,1,Who is teaching this tennis lesson?,528870,f47
f464,2,"How much are tennis lessons?
",528870,f47
f465,1,What are the zebras looking at?,365464,f52
f466,2,Are the zebras alarmed by what they see?,365464,f52
f467,1,is the baby safe so close to the water?,489263,f51
f468,2,was the woman dancing or just taking a step?,489263,f51
f469,1,was the base runner safe?,578023,f51
f470,2,What was the score at the time?,578023,f51
f471,1,What has distracted this couple from watching the kites?,423107,f52
f472,2,Why are there different shapes of kites?,423107,f52
f473,1,where did the female get that  colorful umbrella?,372604,f51
f474,2,Did it rain that day?,372604,f51
f475,1,Why are the boys on the floor?,460885,f52
f476,2,Are the boys in school?,460885,f52
f477,1,Is the skier an experienced skier?,522971,f52
f478,2,What is the skier stopped or just starting out?,522971,f52
f479,1,Where did the girl get the teddy bear?,203497,f53
f480,2,Where did the girl get her shirt from?,203497,f53
f481,1,How long have the men been skiing for?,402224,f53
f482,2,What country are these men skiing in?,402224,f53
f483,1,Is the skater exercising or exercising his dog?,189129,f52
f484,2,Is the skater on his way to work or on his way home from work?,189129,f52
f485,1,Are the people in the image professional athletes?,405057,f54
f486,2,Are they playing on the same team?,405057,f54
f487,1,Where did these women get their jackets?,261673,f53
f488,2,Where was the phone in the image bought from?,261673,f53
f489,1,Where were these horses raised?,544261,f53
f490,2,What food is fed to the horses for their competition?,544261,f53
f491,1,Is the tennis player playing a game of singles or doubles?,164262,f54
f492,2,Is the tennis playing winning or losing?,164262,f54
f493,1,What type of flowers are pictured?,147716,f54
f494,2,Are the flowers real of fake?,147716,f54
f495,1,How long do these women have until they reach their destination?,105633,f53
f496,2,What's the name of the building in the background?,105633,f53
f497,1,Are the horses wild?,187401,f54
f498,2,Is the bigger horse the parent of the smaller horse?,187401,f54
f499,1,Where are this person and the horse going?,402762,f54
f500,2,Is the person riding in a Western saddle?,402762,f54
f501,1,What was the goalie thinking when holding the ball?,99184,f55
f502,2,How did the goalie feel in this moment?,99184,f55
f503,1,How do you like the surfboard?,571343,f55
f504,2,Why do you like surfing?,571343,f55
f505,1,Is that a parasol or an umbrella?,134344,f55
f506,2,What event were you attending in the photo?,134344,f55
f507,1,How is the chocolate donut?,210729,f55
f508,2,Where did you purchase the coffee drink?,210729,f55
f509,1,Is he playing a game\watching a video on his phone?,145621,f56
f510,2,Does he have a reason for being on his phone outside?,145621,f56
f511,1,How were the trainers able to make the elephants balance on each other?,438795,f55
f512,2,What kind of event was this?,438795,f55
f513,1,Why are these elephants doing this?,438795,f58
f514,2,Would you like to be reborn as one of these elephants after your human body dies?,438795,f58
f515,1,Does this image look staged?,102256,f58
f516,2,What is the person in the foreground trying to do?,102256,f58
f517,1,What is showing the television show?,46002,f58
f518,2,What kind of show is this?,46002,f58
f519,1,What am I even really looking at?,539449,f58
f520,2,Is that cotton candy? GROSS?,539449,f58
f521,1,How many people of Jewish persuasion are in this image?,141785,f58
f522,2,Why are you so ticked off about Q1?,141785,f58
f523,1,Really?,364455,f57
f524,2,She told you?,364455,f57
f525,1,Do babies develop a sense of taste early on or just eat what is in front of their plate?,53897,f60
f526,2,What kind of home and environment do you think this baby is being raised in? ,53897,f60
f527,1,Did the person who took this photo intentionally make it blurry?,431043,f56
f528,2,How did the person who took this photo make it blurry; did they shake it or was it just an effect?,431043,f56
f529,1,Who is winning?,186753,f57
f530,2,Do you need help scoring?,186753,f57
f531,1,What country is this man in?,542832,f56
f532,2,"Does the man in this image live in this country, or is he just a tourist passing by?",542832,f56
f533,1,Why are there so many people surrounding this one surfboard?,556512,f56
f534,2,Is there something lurking in the water?,556512,f56
f535,1,Are there others behind him?,186254,f57
f536,2,Where is he skiing? ,186254,f57
f537,1,How long has this player been playing soccer? Does she enjoy it?,200910,f61
f538,2,I see men in the background -- is she playing recreationally or a real game of mixed gender soccer?,200910,f61
f539,1,Do you think that pizza is appetizing?,370059,f60
f540,2,Do you think the people there are celebrating a birthday?,370059,f60
f541,1,What Wii game are they playing?,245590,f56
f542,2,Are they competing against each other or playing as a team?,245590,f56
f543,1,How many kites are in the sky?,123214,f57
f544,2,Which kite is higher in the air?,123214,f57
f545,1,Is this a baby shower or a birthday party?,67462,f61
f546,2,"What is the connection between these two people - are they siblings, friends, or partners?",67462,f61
f547,1,Where is this located?,362591,f57
f548,2,What was the weather like?,362591,f57
f549,1,What liquid is she carrying around in that plastic bag?,271633,f61
f550,2,What country is this from and are they in an economic crisis at the moment?,271633,f61
f551,1,How skilled do you think this player is?,542090,f60
f552,2,Do you think tennis is a fun sport to play?,542090,f60
f553,1,do you believe this is a historical place?,80404,f62
f554,2,where do you think this picture takes place?,80404,f62
f555,1,what could she be thinking?,81463,f62
f556,2,where could she be located?,81463,f62
f557,1,do you believe this is pro tennis?,478052,f62
f558,2,is she practicing or has an opponent?,478052,f62
f559,1,Would this be an ideal spot for summer vacation?,12386,f60
f560,2,How far do you think it takes to reach the mountains in the background?,12386,f60
f561,1,do you think this man is a doctor?,126552,f62
f562,2,is he in a hospital?,126552,f62
f563,1,where are these people located?,366897,f62
f564,2,are they having class?,366897,f62
f565,1,Are those two people related or just friends? ,180354,f60
f566,2,Do they plan to post these pictures on social media?,180354,f60
f567,1,"What year was the wine they're drinking, made?",514346,f61
f568,2,"I wonder if this is a frequent thing for them, going out for wine, or if it's just old friends seeing each other after a long time?",514346,f61
f569,1,Is she cosplaying or in a work uniform?,356868,f61
f570,2,What character is she cosplaying as?,356868,f61
f571,1,What is the name of this restaurant?,28797,f64
